,age,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_fk_accuracy,skill_long_passing,skill_ball_control,value_eur,league_level
2568,27,78,65,66,73,40,65,74,60,63,72,1900000,1
2569,26,90,61,66,76,42,53,79,57,55,72,1800000,1
2570,23,73,67,71,76,29,52,78,68,68,77,1500000,1
2571,28,73,70,71,73,33,71,71,71,68,76,1700000,1
2572,23,66,68,71,72,58,73,71,55,71,75,1500000,2
2573,25,73,33,57,61,71,72,57,43,60,62,1500000,1
2574,23,91,59,64,74,69,72,73,34,75,73,1300000,1
2576,24,79,71,68,76,35,64,75,71,65,72,1900000,1
2577,24,72,34,56,41,72,79,29,37,65,47,1500000,2
2579,28,75,71,58,66,31,72,65,42,46,66,1700000,2
2580,27,70,73,66,69,42,80,68,57,59,71,1700000,1
2581,25,62,58,68,67,71,81,64,57,75,74,1700000,1
2582,25,84,61,69,71,47,56,72,72,63,69,1700000,2
2583,27,73,67,67,70,68,76,68,57,70,69,1700000,2
2584,27,45,63,66,68,72,76,68,51,66,71,1400000,1
2585,23,58,32,46,45,72,76,37,34,54,52,1300000,1
2586,26,85,67,66,72,34,66,72,52,64,73,1800000,2
2587,24,78,58,58,63,73,86,61,46,64,68,1400000,1
2589,24,83,67,62,72,29,68,72,52,52,70,1900000,1
2590,23,70,62,69,75,38,64,69,65,60,76,1500000,1
2591,25,76,65,69,71,30,57,71,70,64,70,1700000,1
2592,25,80,59,66,71,66,76,65,52,62,77,1500000,1
2593,24,67,35,56,56,71,73,50,22,58,66,1500000,1
2594,28,57,74,66,64,62,82,65,44,59,66,1700000,1
2595,23,88,65,64,74,33,66,74,47,57,74,1500000,1
2596,31,73,70,52,66,32,75,63,70,50,69,1400000,1
2597,25,77,62,69,73,36,59,76,47,64,74,1700000,1
2598,24,71,68,67,72,39,65,73,64,61,74,1900000,1
2599,25,72,63,63,73,69,50,70,41,64,74,1700000,1
2600,31,64,62,71,69,61,69,70,40,74,71,1200000,1
2601,29,79,70,61,71,34,67,67,68,49,73,1600000,2
2602,28,65,35,49,41,73,75,37,26,54,48,1400000,1
2603,30,58,51,61,49,67,80,28,53,68,67,1100000,1
2604,29,77,45,62,68,71,64,62,38,62,72,1300000,1
2606,26,80,71,62,75,29,61,75,69,45,73,2000000,2
2607,31,73,59,68,78,26,60,80,62,63,77,1200000,1
2608,23,72,29,50,53,73,74,47,35,54,53,1300000,1
2609,27,89,69,63,75,34,72,77,60,52,72,1700000,2
2610,23,76,67,67,75,31,62,75,70,64,74,1500000,2
2611,25,86,69,66,71,33,72,72,47,59,70,1700000,1
2612,28,80,73,67,74,31,69,76,47,69,77,1600000,1
2613,24,91,70,64,74,30,74,76,53,61,73,1700000,1
2614,23,55,35,36,33,73,69,25,25,39,38,1300000,1
2615,24,85,64,64,78,29,52,77,75,59,78,1700000,2
2616,24,68,69,58,68,36,71,68,50,35,70,1900000,1
2617,24,87,62,59,78,28,45,77,64,54,77,1900000,1
2618,27,51,53,61,55,71,77,49,71,79,66,1500000,1
2619,27,66,59,71,68,64,71,65,63,73,73,1700000,1
2620,25,86,72,62,73,28,74,73,61,50,72,1900000,1
2621,22,77,34,66,68,71,74,66,33,65,71,1100000,1
2622,31,79,73,73,70,67,74,69,75,73,68,1000000,1
2624,23,90,49,62,70,67,75,68,34,63,66,1300000,1
2625,23,78,64,61,79,28,60,82,35,55,75,1700000,2
2626,26,66,47,65,64,71,76,57,51,66,70,1500000,1
2627,24,73,71,55,72,34,64,70,52,38,71,1900000,1
2628,25,70,40,46,60,71,74,56,32,51,62,1500000,1
2629,27,86,56,65,73,68,62,71,57,65,71,1500000,1
2630,26,82,69,64,73,45,67,73,47,62,70,2000000,1
2631,26,62,31,46,46,74,81,45,51,47,43,1600000,1
2633,24,57,60,71,67,66,71,67,53,73,73,1400000,1
2634,25,69,68,70,71,68,73,71,62,70,72,1700000,1
2635,25,58,73,49,68,29,74,69,46,54,70,1900000,1
2636,25,66,67,69,72,68,69,71,56,73,73,1500000,1
2637,22,75,63,71,76,40,58,76,65,68,73,1500000,1
2638,25,77,72,69,73,39,66,73,77,66,73,1700000,1
2639,25,66,72,59,66,37,72,65,39,47,68,1900000,1
2640,24,69,70,56,72,32,72,73,45,44,77,1900000,2
2641,24,78,59,64,68,71,81,68,54,68,69,1400000,1
2642,29,78,38,58,65,70,76,61,27,58,68,1300000,1
2643,28,69,64,68,75,34,66,73,65,60,77,1700000,1
2645,25,67,72,66,68,32,70,64,64,65,71,1900000,1
2646,23,80,42,63,68,70,75,67,21,65,71,1300000,1
2648,23,79,59,69,71,59,70,70,57,68,71,1500000,1
2649,24,67,51,63,67,73,72,65,35,65,68,1400000,1
2650,25,73,70,54,72,36,67,68,39,50,72,1900000,1
2651,25,67,40,54,58,72,73,54,32,51,65,1500000,2
2652,23,84,67,62,72,35,80,74,44,64,73,1700000,2
2653,25,79,70,65,74,29,74,75,49,63,73,1700000,1
2654,25,88,61,65,69,58,75,61,58,72,74,1700000,1
2655,24,72,64,68,71,61,70,70,60,70,70,1700000,2
2656,23,87,64,67,77,32,51,78,67,63,76,1700000,1
2657,28,76,51,65,71,66,73,68,51,58,74,1400000,1
2658,21,89,70,60,73,34,65,72,35,58,72,1500000,1
2659,23,90,69,50,74,34,57,72,42,50,72,1700000,1
2660,22,83,73,72,78,56,72,78,74,69,76,1300000,1
2662,23,59,34,34,46,74,76,41,25,34,54,1300000,1
2663,23,77,64,69,73,71,73,73,59,69,73,1500000,1
2664,23,66,72,51,63,33,83,66,37,48,67,1700000,1
2665,22,86,58,59,77,35,58,76,60,50,78,1500000,1
2666,24,70,46,59,58,72,82,61,55,72,58,1500000,1
2667,25,79,59,67,73,69,79,74,42,69,72,1700000,2
2668,22,92,70,62,73,37,67,70,50,55,75,1500000,1
2669,26,68,69,72,73,54,78,73,74,72,74,2000000,1
2670,24,87,53,65,71,67,72,68,53,65,72,1500000,1
2671,26,67,37,56,51,70,78,45,26,64,56,1600000,1
2672,26,58,44,51,42,71,78,22,64,52,62,1600000,1
2673,21,79,60,67,74,68,64,72,62,66,71,1300000,1
2674,22,71,47,66,67,68,73,59,47,68,73,1100000,1
2675,22,69,33,51,49,70,78,35,33,63,64,1100000,1
2676,26,74,68,69,72,47,73,71,67,69,71,1800000,2
2677,26,70,61,65,62,70,74,56,75,68,70,1600000,1
2678,23,78,60,64,70,68,78,68,44,62,73,1300000,1
2679,24,79,63,72,72,45,54,71,69,68,74,1900000,2
2680,24,81,59,69,74,31,57,74,48,68,72,1900000,1
2681,21,57,55,78,69,49,63,67,73,82,72,1300000,1
2682,23,75,71,66,74,39,73,74,65,63,74,1700000,1
2683,26,87,68,66,71,34,74,71,57,62,69,1800000,1
2684,26,61,46,59,57,70,82,58,40,67,59,1600000,1
2686,26,68,36,49,43,71,79,22,32,44,65,1600000,1
2687,22,60,75,61,69,30,72,67,67,52,73,1500000,1
2688,26,52,72,53,66,28,69,65,46,50,74,2000000,1
2689,28,88,69,62,73,35,78,73,56,62,72,1700000,1
2691,23,80,71,67,73,35,74,75,63,64,75,1500000,1
2692,27,90,64,62,75,36,49,74,52,62,71,1900000,1
2693,21,69,58,68,71,70,67,69,55,68,73,1100000,1
2695,22,77,60,66,78,37,57,79,73,63,76,1300000,1
2696,23,78,49,64,79,41,55,78,56,61,76,1500000,1
2697,25,78,72,66,75,35,63,74,82,58,73,1900000,1
2698,24,77,45,53,55,72,77,48,38,52,58,1500000,1
2699,21,74,49,58,71,74,76,68,56,68,74,1100000,1
2700,22,77,49,66,68,72,72,69,51,63,67,1100000,1
2702,27,69,74,60,64,29,70,61,60,50,63,1900000,1
2703,24,76,50,61,70,72,67,67,49,58,68,1500000,1
2704,23,81,72,57,74,31,61,75,55,49,73,1700000,1
2705,24,73,64,66,73,70,73,73,49,63,73,1500000,1
2706,22,79,57,70,70,63,73,64,53,74,75,1300000,1
2707,22,78,68,67,75,32,61,74,70,65,75,1500000,1
2709,22,61,36,46,43,75,74,36,30,55,48,1100000,1
2710,22,73,57,66,72,66,75,66,58,70,77,1100000,1
2711,23,71,68,55,73,36,68,73,53,58,75,1700000,1
2712,22,67,37,51,55,71,79,52,25,58,51,1100000,1
2713,19,79,52,68,76,23,44,75,60,64,78,1200000,2
2714,22,79,62,68,75,50,60,75,73,59,73,1300000,1
2715,23,65,62,72,70,59,67,68,66,74,75,1500000,1
2717,21,76,72,48,64,30,79,65,55,42,69,1500000,1
2718,21,75,38,58,68,71,74,65,25,61,72,1100000,1
2719,23,87,64,66,77,42,70,78,51,61,72,1700000,1
2720,20,71,71,63,71,29,66,70,49,52,74,1500000,1
2721,21,67,68,73,69,65,74,67,76,74,73,1300000,1
2722,26,66,63,74,69,51,67,66,67,81,73,1800000,2
2723,29,73,59,63,70,69,75,67,50,67,69,1200000,1
2724,20,59,47,67,69,69,62,68,54,76,74,1100000,1
2725,22,93,66,57,77,39,60,80,51,54,68,1300000,1
2726,23,67,61,75,70,57,65,67,59,77,72,1500000,1
2727,25,87,60,69,71,68,67,68,68,67,72,1500000,2
2730,28,62,61,71,62,60,76,56,59,76,68,1300000,1
2731,22,76,58,70,76,29,56,75,58,61,75,1500000,1
2732,19,71,57,68,78,33,39,75,55,58,83,1400000,1
2733,21,74,50,47,54,74,70,53,33,54,52,1100000,1
2735,23,78,70,69,74,42,68,75,71,66,74,1700000,1
2736,23,75,67,67,77,42,58,78,62,61,75,1500000,1
2737,23,44,37,44,41,71,78,34,58,41,52,1300000,1
2738,20,79,60,66,74,71,66,75,53,65,69,1100000,1
2740,21,91,67,69,73,57,68,70,65,65,71,1500000,1
2741,21,79,55,66,71,66,64,73,44,62,70,1300000,1
2742,24,66,62,72,70,62,80,70,75,73,71,1700000,1
2743,23,86,71,52,70,29,58,68,74,51,67,1700000,1
2744,19,68,50,65,72,71,71,73,48,64,74,1000000,1
2745,30,69,64,68,71,68,64,70,48,70,75,1300000,1
2746,20,77,65,71,75,30,59,74,74,71,76,1500000,1
2747,21,89,62,65,73,40,67,75,58,61,70,1300000,1
2748,21,58,36,49,48,73,75,41,44,63,57,1100000,1
2749,20,71,56,67,72,64,72,70,51,70,78,1300000,1
2750,24,76,51,64,69,70,70,68,47,69,72,1500000,1
2751,28,65,37,60,60,72,74,55,34,71,63,1300000,1
2752,18,85,63,64,81,25,40,84,66,52,77,1300000,1
2753,27,75,70,51,67,30,67,67,30,46,64,1900000,1
2756,21,72,26,58,62,71,73,62,27,65,64,1100000,1
2757,20,71,60,69,76,46,56,76,58,66,77,1500000,1
2758,25,89,71,64,73,47,73,74,45,67,72,1700000,1
2759,22,89,70,66,74,32,63,77,50,66,70,1300000,1
2760,19,66,30,58,55,72,74,52,35,72,60,1000000,1
2761,22,76,69,69,70,60,63,68,59,66,74,1500000,1
2762,26,84,68,66,74,28,53,72,58,63,73,2000000,1
2763,23,83,70,63,73,51,62,73,52,62,71,1500000,1
2764,26,75,50,61,66,71,84,66,40,65,67,1500000,1
2765,28,70,67,71,69,61,67,68,62,72,72,1600000,1
2766,22,83,60,66,70,43,67,70,61,64,68,1300000,1
2767,25,62,39,45,49,74,68,44,35,54,54,1500000,2
2769,18,58,39,41,42,73,77,41,29,48,45,975000,1
2770,20,77,60,73,75,56,66,74,59,77,75,1300000,1
2771,20,86,66,61,77,37,65,79,30,47,75,1300000,1
2772,21,71,64,68,73,49,56,72,69,67,71,1500000,1
2773,22,86,68,52,72,48,74,75,29,30,68,1500000,1
2774,20,71,68,72,71,50,67,72,78,72,73,1500000,1
2775,20,77,70,67,75,49,64,74,49,67,80,1300000,1
2776,25,69,28,46,52,71,74,47,31,52,58,1500000,1
2777,21,78,66,65,70,36,64,75,58,55,73,1500000,2
2778,23,75,63,70,76,41,44,73,62,76,75,1700000,1
2779,24,78,64,66,72,66,79,70,31,73,72,1700000,1
2780,25,91,62,65,78,30,47,77,44,55,74,1900000,1
2781,24,64,60,66,66,69,79,67,49,67,70,1700000,1
2783,27,73,70,60,73,30,60,73,62,59,72,1900000,1
2784,22,78,57,63,67,69,77,63,65,66,72,1100000,1
2785,25,50,47,46,35,72,74,29,25,54,34,1500000,1
2786,25,77,72,61,72,40,65,72,38,59,74,1900000,1
2787,25,80,70,49,62,33,73,58,46,45,67,1900000,1
2789,27,81,55,68,76,38,59,72,68,66,83,1700000,1
2790,21,69,46,64,68,69,74,66,46,71,70,1100000,1
2791,28,63,34,52,59,72,73,55,33,60,63,1400000,1
2792,23,79,28,53,64,68,84,62,35,51,63,1300000,1
2793,22,89,66,59,74,30,67,73,43,55,72,1500000,1
2794,26,73,56,68,67,73,79,64,56,71,68,1800000,1
2795,24,49,35,45,52,71,78,48,31,57,52,1500000,1
2796,23,79,71,61,74,27,69,75,36,62,73,1700000,1
2797,23,65,73,52,67,42,75,67,35,56,67,1700000,1
2798,29,85,71,52,70,29,65,68,49,43,72,1600000,2
2799,19,68,44,46,46,73,76,38,43,57,53,1000000,1
2800,22,75,37,57,56,72,73,52,53,59,61,1100000,1
2801,20,81,63,64,79,28,66,80,66,52,76,1500000,1
2802,20,77,64,68,75,67,65,72,34,71,77,1300000,1
2803,26,78,45,61,72,70,75,73,39,51,71,1600000,1
2804,21,71,47,63,68,69,73,66,45,74,70,1100000,1
2806,21,55,30,41,40,74,70,34,36,49,49,1100000,1
2807,21,59,28,42,43,75,66,39,29,49,49,1100000,2
2808,22,78,33,58,58,70,65,51,40,51,63,1100000,1
2809,23,68,44,63,65,70,78,65,62,59,71,1300000,1
2810,26,80,69,68,72,35,73,70,73,69,73,2000000,1
2811,24,73,71,46,67,30,61,66,55,34,70,1900000,1
2812,25,65,73,41,60,30,72,61,31,30,64,1900000,1
2813,20,88,61,64,77,33,53,78,48,56,74,1300000,1
2814,28,78,59,66,67,69,77,63,61,68,67,1400000,1
2815,33,59,42,62,66,73,77,71,41,65,68,700000,1
2816,29,52,39,58,60,72,64,51,25,64,71,1300000,1
2817,29,79,62,65,72,46,64,72,64,61,71,1500000,1
2818,32,78,66,64,79,31,42,81,69,56,72,1100000,1
2819,31,70,71,54,69,32,73,69,60,43,70,1400000,2
2820,39,56,63,74,70,32,53,71,67,70,74,170000,2
2822,32,63,65,70,72,43,65,70,72,64,72,1100000,1
2823,34,63,56,56,62,71,73,61,36,52,64,475000,2
2824,31,53,71,74,69,60,66,67,77,77,74,1200000,1
2826,32,65,64,70,68,69,81,66,67,69,69,1100000,2
2827,37,38,49,72,63,56,68,52,71,78,75,1000,1
2828,34,49,62,74,72,66,66,73,78,74,75,675000,1
2830,31,81,60,65,75,26,53,76,51,54,72,1200000,1
2831,32,37,33,54,55,70,73,51,25,66,54,925000,2
2832,30,71,69,53,64,29,63,60,47,33,69,1500000,2
2833,33,57,64,70,68,62,69,65,63,71,73,900000,1
2834,33,50,64,65,65,70,77,62,58,67,68,625000,1
2835,33,53,55,62,59,72,76,52,55,64,67,625000,2
2836,33,65,40,58,54,72,71,47,35,59,60,700000,1
2837,34,81,61,73,66,41,62,65,69,65,69,850000,1
2838,35,72,72,68,75,33,54,73,77,59,77,625000,1
2840,30,51,54,59,45,72,77,37,57,67,59,1100000,1
2841,33,62,66,73,75,45,60,75,78,72,76,1100000,1
2843,31,32,70,74,73,46,65,73,77,76,75,1400000,2
2844,29,72,40,50,52,74,72,51,41,63,45,1300000,2
2845,32,51,68,74,70,62,72,69,73,74,73,1100000,1
2846,30,44,55,58,50,76,80,42,47,49,65,1100000,1
2847,31,55,56,64,65,69,80,66,41,67,64,950000,1
2848,30,60,45,47,50,73,71,43,32,51,57,1100000,1
2850,35,65,68,70,68,45,65,67,73,69,69,625000,2
2851,30,57,58,60,61,69,80,59,54,64,66,1100000,1
2853,34,69,71,70,70,35,75,68,67,67,72,850000,2
2854,34,63,60,75,71,66,68,70,64,74,75,850000,2
2855,34,54,45,55,49,70,72,38,48,68,60,475000,2
2858,30,72,57,65,67,69,77,66,42,63,68,1100000,2
2859,30,79,70,66,74,33,67,73,64,62,70,1300000,1
2860,32,76,63,69,69,67,73,68,51,66,70,925000,1
2861,32,70,69,69,75,36,60,74,71,55,76,1100000,1
2862,33,70,44,48,50,73,74,45,48,42,52,700000,1
2863,32,64,72,70,69,38,60,70,67,63,73,1300000,1
2864,29,51,47,65,61,70,77,62,63,62,65,1300000,1
2865,30,58,66,62,66,74,76,63,48,69,68,1300000,1
2866,28,66,73,57,57,37,84,51,44,48,61,1700000,1
2867,28,69,68,71,71,50,65,70,73,71,72,1700000,2
2868,34,74,58,65,74,68,64,75,66,64,73,475000,1
2869,29,40,65,51,55,72,78,55,53,66,57,1300000,1
2871,31,77,53,68,69,70,70,67,57,69,70,1000000,1
2872,31,70,57,69,69,69,68,67,62,69,69,950000,2
2873,30,54,46,53,44,68,79,40,42,49,49,1100000,1
2874,30,68,68,66,67,57,74,66,62,68,71,1300000,1
2875,30,69,70,66,72,57,83,71,55,56,72,1300000,1
2876,27,72,54,61,70,70,71,72,58,65,68,1500000,1
2878,37,33,74,63,62,34,68,66,65,58,68,170000,1
2879,32,62,61,68,67,71,67,64,70,69,69,850000,1
2880,31,33,44,51,46,70,66,42,44,50,52,1000000,2
2881,29,55,45,50,50,71,74,43,61,55,57,1300000,1
2882,34,57,52,57,58,69,75,57,39,65,56,475000,1
2883,32,53,72,61,63,35,70,61,67,60,65,1300000,1
2884,38,55,65,71,74,27,39,75,77,68,75,170000,1
2886,33,61,60,68,68,68,73,69,62,67,70,625000,1
2887,33,33,37,36,39,70,83,30,38,24,50,700000,1
2889,32,73,68,68,73,33,55,75,62,61,72,1100000,2
2891,29,63,66,70,73,37,49,74,74,62,72,1500000,2
2893,27,62,42,61,57,70,75,49,36,64,67,1500000,1
2895,33,76,71,54,68,36,73,67,54,36,70,1100000,1
2898,30,49,61,70,69,67,69,67,45,73,71,1100000,2
2899,29,68,53,70,64,64,73,61,60,73,67,1200000,1
2900,28,67,70,62,70,30,71,70,66,51,71,1700000,2
2901,29,76,68,50,66,38,74,64,25,36,68,1600000,2
2902,30,72,68,66,71,36,73,71,62,46,70,1500000,1
2903,34,64,72,55,61,30,59,58,54,45,65,850000,1
2905,30,81,70,62,72,30,66,71,47,48,68,1500000,1
2906,32,59,52,60,62,71,75,60,56,58,65,925000,2
2907,30,70,61,65,68,66,74,64,64,65,73,1300000,1
2909,29,56,47,52,55,72,78,53,55,63,57,1300000,1
2910,32,55,38,48,44,72,77,36,23,59,54,925000,1
2911,23,73,67,70,72,54,63,68,72,68,74,1500000,2
2912,31,72,66,68,72,65,54,72,57,67,70,1200000,1
2913,32,49,72,68,68,41,68,64,55,65,77,1300000,1
2914,30,72,46,64,65,70,69,60,61,68,68,1100000,1
2915,30,66,65,69,67,65,78,66,58,70,70,1100000,2
2916,26,59,38,47,48,71,71,39,32,52,57,1600000,2
2918,29,72,58,50,58,73,74,57,30,54,46,1300000,1
2919,30,72,46,62,64,70,75,63,58,59,66,1100000,2
2921,34,50,71,62,69,33,70,69,61,58,71,850000,1
2922,31,74,62,67,75,38,62,76,67,58,73,1200000,1
2923,34,59,74,73,69,27,53,72,85,67,72,850000,1
2924,22,80,61,66,73,27,63,75,36,64,69,1300000,1
2925,30,76,65,70,70,67,71,69,64,72,70,1500000,1
2927,30,78,69,65,75,35,57,73,62,65,76,1500000,1
2928,27,79,66,64,71,53,72,74,60,59,66,1700000,1
2929,29,77,56,67,69,67,69,66,69,68,73,1300000,1
2930,28,71,60,65,71,68,70,69,58,60,74,1400000,2
2931,28,67,70,62,70,35,68,67,50,58,72,1700000,2
2932,29,68,62,69,66,61,75,60,59,73,74,1500000,2
2933,30,58,61,70,71,65,71,72,58,70,73,1300000,1
2934,31,66,45,58,48,65,84,40,40,62,54,1000000,2
2935,30,70,41,59,66,70,70,66,58,58,65,1100000,1
2937,27,65,70,67,68,60,78,67,43,68,70,1900000,1
2938,30,79,64,70,75,67,77,73,70,62,75,1100000,1
2939,27,88,67,58,70,29,65,70,48,50,68,1900000,2
2940,27,89,66,67,74,29,49,70,72,60,72,1900000,1
2941,29,45,58,70,66,67,70,62,66,74,74,1500000,1
2942,30,68,67,70,72,51,70,72,80,70,73,1500000,2
2943,28,69,69,59,68,30,63,68,61,39,71,1700000,1
2944,28,57,63,71,67,64,66,64,71,75,74,1600000,1
2945,27,72,32,51,55,71,71,46,28,56,58,1500000,1
2946,29,68,61,73,69,62,64,71,75,74,68,1500000,1
2947,28,89,67,60,78,27,61,77,41,47,78,1600000,1
2949,28,67,48,65,65,70,68,64,36,65,68,1400000,2
2950,33,54,42,48,49,70,68,44,62,41,53,700000,1
2951,27,74,65,69,73,28,53,73,70,66,72,1700000,1
2952,25,80,69,55,66,41,74,64,47,43,65,1900000,2
2953,28,67,29,55,58,73,70,59,41,63,57,1400000,2
2954,29,53,29,57,56,70,76,53,22,63,59,1300000,1
2955,29,67,70,66,70,62,78,67,52,67,73,1500000,1
2956,28,53,56,63,60,63,78,53,39,69,71,1300000,2
2957,29,47,64,63,64,71,73,63,54,63,69,1300000,2
2958,28,67,58,68,63,69,71,60,54,67,67,1400000,1
2959,27,72,31,53,55,71,67,49,35,58,64,1500000,2
2960,32,65,61,66,68,67,78,67,58,67,71,850000,2
2961,27,80,38,63,61,71,69,57,45,66,65,1500000,1
2962,29,70,60,72,72,62,76,71,69,66,74,1500000,1
2963,24,87,60,63,69,57,80,66,56,62,68,1700000,2
2964,28,64,46,62,64,72,72,64,36,63,66,1400000,1
2965,30,50,30,56,44,71,70,29,33,55,61,1100000,1
2966,29,67,68,64,69,34,70,67,53,54,74,1600000,1
2967,33,53,72,57,65,28,66,65,64,41,68,1100000,1
2968,28,55,58,62,59,70,81,56,65,65,68,1300000,2
2969,27,72,68,66,76,32,61,76,57,44,75,1900000,1
2970,36,38,66,74,69,39,62,67,64,75,75,190000,1
2971,26,92,61,61,73,51,69,75,35,53,64,1800000,2
2972,25,69,69,57,67,35,67,65,58,55,72,1900000,1
2973,30,63,59,69,63,64,78,59,65,71,67,1100000,1
2974,26,78,65,66,72,42,71,71,60,62,70,1800000,2
2975,32,69,70,52,70,34,67,69,66,45,70,1300000,1
2976,25,71,71,62,72,28,65,71,41,60,75,1900000,1
2977,30,64,61,66,68,71,78,69,61,70,70,1300000,1
2979,27,85,70,63,73,33,74,73,56,61,71,1900000,1
2980,27,68,50,59,59,72,70,58,40,64,59,1500000,1
2981,29,72,68,62,71,33,78,69,55,49,74,1600000,1
2982,29,50,62,66,65,65,78,68,60,67,70,1200000,1
2983,26,68,55,54,55,70,76,49,75,58,60,1600000,1
2984,27,73,48,62,70,67,74,66,69,58,75,1500000,1
2985,26,65,69,62,69,31,63,67,38,50,75,2000000,1
2986,26,80,65,70,72,67,76,72,72,68,73,1800000,1
2987,28,79,47,61,70,67,76,69,42,54,70,1400000,1
2988,27,72,68,50,64,29,78,58,54,34,71,1900000,2
2989,26,71,45,60,64,69,78,62,40,61,66,1600000,1
2990,30,65,73,59,65,34,69,62,32,53,70,1500000,2
2991,27,74,33,56,62,73,72,58,21,60,64,1500000,1
2993,29,77,65,70,73,55,64,73,78,73,74,1600000,1
2994,29,76,53,65,68,69,75,69,52,67,68,1300000,1
2995,29,83,67,64,71,39,67,71,41,61,70,1600000,1
2996,31,83,68,62,73,30,60,73,45,50,72,1400000,2
2997,31,73,63,67,82,26,40,81,51,65,81,1400000,1
2998,29,86,59,71,70,68,76,69,76,74,72,1300000,1
3000,34,69,63,71,74,41,63,72,72,71,74,850000,1
3001,26,82,62,60,78,34,51,75,53,48,79,1800000,1
3002,25,75,69,54,68,36,73,68,51,48,69,1900000,1
3003,31,83,68,68,72,39,59,72,75,64,68,1200000,1
3004,31,73,70,67,69,39,70,67,67,60,70,1400000,1
3005,26,70,60,69,74,34,51,73,67,68,75,2000000,1
3007,28,76,61,67,74,52,61,74,55,65,73,1600000,1
3011,29,67,45,58,55,68,79,52,46,68,65,1300000,1
3012,26,74,63,68,68,45,66,70,58,68,66,1800000,1
3013,30,67,49,60,58,74,73,58,46,61,58,1100000,1
3014,29,70,73,72,70,34,60,68,68,73,72,1600000,2
3016,24,78,71,61,73,30,58,73,55,47,74,1700000,1
3017,26,63,57,55,59,77,77,56,65,64,63,1500000,1
3018,31,71,57,68,70,57,69,66,41,65,74,1200000,1
3019,26,76,72,54,67,31,67,66,68,46,68,2000000,2
3020,26,79,56,71,68,67,70,63,72,69,69,1600000,1
3021,27,80,73,63,70,34,70,70,74,52,68,1900000,1
3022,26,78,67,64,76,31,63,76,62,59,77,1800000,1
3023,26,52,41,55,52,71,70,44,36,56,57,1600000,1
3024,26,71,39,58,58,68,76,55,26,49,60,1600000,1
3026,27,86,66,61,73,32,66,72,64,58,71,1700000,1
3027,24,57,37,46,46,70,77,35,56,50,63,1500000,2
3028,23,78,70,59,71,33,61,73,65,33,70,1700000,1
3029,23,88,69,59,73,34,67,71,69,50,70,1500000,2
3030,26,92,66,65,73,37,63,73,58,52,69,1800000,1
3032,25,70,72,48,61,30,69,59,49,41,65,1900000,1
3033,26,80,46,65,67,67,77,68,73,59,68,1600000,2
3034,24,72,66,65,78,30,62,80,60,64,77,1900000,1
3035,25,70,61,67,71,72,73,67,65,67,74,1700000,2
3036,25,75,56,57,61,67,80,57,37,67,62,1500000,1
3037,27,68,64,70,70,64,74,68,64,71,72,1700000,2
3038,24,59,25,42,46,71,71,28,24,57,64,1500000,2
3039,25,78,65,62,75,37,55,75,60,59,76,1700000,1
3040,25,73,42,67,72,67,70,71,62,59,70,1500000,2
3041,26,63,68,57,67,34,78,66,40,48,68,2000000,1
3042,24,75,61,65,74,36,73,74,61,63,73,1700000,1
3043,25,72,60,64,69,70,74,66,47,64,68,1500000,2
3045,28,64,33,57,55,70,76,54,45,63,55,1400000,1
3046,28,63,45,53,50,69,83,47,45,62,52,1400000,1
3047,25,69,71,53,70,39,72,69,69,34,73,1900000,2
3048,27,82,47,60,70,68,65,68,45,54,66,1500000,1
3049,25,72,73,70,70,72,67,70,74,70,74,1500000,1
3050,24,85,66,60,71,33,72,71,36,57,70,1700000,2
3053,25,75,42,44,47,70,79,33,50,53,60,1500000,2
3054,22,77,69,70,72,65,73,73,74,68,72,1300000,1
3055,24,70,64,67,70,60,69,68,42,73,72,1700000,1
3056,23,77,64,66,73,31,65,76,46,58,71,1500000,1
3058,30,74,71,64,72,34,54,71,70,63,71,1500000,1
3059,29,89,55,59,70,67,73,67,28,61,71,1300000,1
3060,26,74,61,70,76,63,61,76,48,73,77,1800000,1
3061,25,83,55,63,67,67,80,66,60,67,66,1500000,1
3062,25,76,75,64,73,35,72,74,59,53,73,1700000,1
3063,27,51,52,60,51,72,73,47,73,62,49,1500000,1
3065,26,75,62,63,75,30,64,75,48,62,74,2000000,1
3066,29,71,70,57,70,29,66,71,57,52,70,1600000,1
3067,24,76,68,59,77,25,66,78,40,52,75,1900000,1
3069,22,80,60,67,73,32,51,74,69,56,69,1300000,1
3070,23,72,71,68,72,41,69,73,66,65,74,1500000,1
3071,24,83,62,65,74,28,61,73,69,59,72,1900000,1
3072,27,78,52,60,62,69,73,58,37,58,60,1500000,1
3073,27,76,34,68,66,68,73,64,68,69,68,1500000,1
3074,23,76,69,69,77,29,61,74,80,70,82,1500000,2
3075,22,64,50,64,68,68,70,62,50,72,76,1100000,2
3076,25,50,31,52,49,72,71,42,39,54,59,1500000,2
3078,26,80,68,48,68,29,68,65,40,30,69,2000000,2
3079,25,66,53,69,68,60,69,67,37,72,73,1700000,1
3080,25,82,67,68,75,27,57,76,68,66,74,1700000,1
3081,25,68,61,70,72,67,71,71,57,69,73,1700000,1
3082,23,69,53,68,74,69,69,72,40,70,76,1500000,1
3083,24,84,66,67,75,32,56,75,75,62,72,1700000,1
3084,24,68,67,70,71,60,74,71,61,68,73,1700000,1
